id,$nameJA,yomi,rarity,category,groupId,craftLevel
travel-encounters,旅の見聞,タビノケンブン,2,exp,exp001,1
adventure-log,冒険記録,ボウケンキロク,3,exp,exp001,2
travelers-guide,漫遊指南,マンユウシナン,4,exp,exp001,3
sparse-aether,希薄なエーテル,キハクナエーテル,2,exp,exp002,1
condensed-aether,濃縮エーテル,ノウシュクエーテル,3,exp,exp002,2
refined-aether,精製エーテル,セイセイエーテル,4,exp,exp002,3
horn-of-snow,吹雪の角,フブキノツノ,4,character_ascension,,
storm-eye,暴風の眼,ボウフウノメ,4,character_ascension,,
endotherm-chitin,恒温晶殻,コウオンカイガラ,4,character_ascension,,
golden-crown-of-the-past-shadow,過去の影の金装飾,カコノカゲノキンソウショク,4,character_ascension,,
shape-shifters-lightning-staff,鍛錬者の雷枝,タンレンシャノライシ,4,character_ascension,,
void-cast-iron,虚幻鋳鉄,キョゲンチュウテツ,4,character_ascension,,
lightning-crown-of-the-past-shadow,過去の影の雷冠,カコノカゲノライカン,4,character_ascension,,
broken-teeth-of-iron-wolf,鉄狼の砕けた刃,テツロウノクダケタヤイバ,4,character_ascension,,
gelid-chitin,苦寒晶殻,クカンショウカク,4,character_ascension,,
enigmatic-ectostella,深邃な星外物質,シンスイナセイガイブッシツ,4,character_ascension,,
ascendant-debris,天人の残穢,テンニンノザンエ,4,character_ascension,,
suppressing-edict,霊鎮めの勅符,レイシズメノチョクフ,4,character_ascension,,
nail-of-the-ape,蒼猿の釘,ソウエンノクギ,4,character_ascension,,
thiefs-instinct,略奪の本能,リャクダツノホンノウ,2,common,com001,1
usurpers-scheme,改ざんの野心,カイザンノヤシン,3,common,com001,2
conquerors-will,踏みにじる意志,フミニジルイシ,4,common,com001,3
extinguished-core,消滅した原核,ショウメツシタゲンカク,2,common,com002,1
glimmering-core,微かに光る原核,ワズカニヒカルゲンカク,3,common,com002,2
squirming-core,脈動する原核,ミャクドウスルゲンカク,4,common,com002,3
silvermane-badge,シルバーメインの釦,シルバーメインノボタン,2,common,com003,1
silvermane-insignia,シルバーメインの記章,シルバーメインノキショウ,3,common,com003,2
silvermane-medal,シルバーメインの勲章,シルバーメインノクンショウ,4,common,com003,3
ancient-part,古代パーツ,コダイパーツ,2,common,com004,1
ancient-spindle,古代シャフト,コダイシャフト,3,common,com004,2
ancient-engine,古代エンジン,コダイエンジン,4,common,com004,3
immortal-scionette,永寿の萌芽,エイジュノホウガ,2,common,com005,1
immortal-aeroblossom,永寿の天華,エイジュノテンゲ,3,common,com005,2
immortal-lumintwig,永寿の栄枝,エイジュノエイシ,4,common,com005,3
artifexs-module,工造機関,コウゾウキカン,2,common,com006,1
artifexs-cogwheel,工造迴輪,コウゾウカイリン,3,common,com006,2
artifexs-gyreheart,工造渾心,コウゾウコンシン,4,common,com006,3
endurance-of-bronze,青銅の執着,セイドウノシュウチャク,2,light_cone_or_skill_upgrade,lcs001,1
oath-of-steel,寒鉄の誓い,カンテツノチカイ,3,light_cone_or_skill_upgrade,lcs001,2
safeguard-of-amber,琥珀の堅守,コハクノケンシュ,4,light_cone_or_skill_upgrade,lcs001,3
arrow-of-the-beast-hunter,狩獣の矢,シュジュウノヤ,2,light_cone_or_skill_upgrade,lcs002,1
arrow-of-the-demon-slayer,屠魔の矢,トマノヤ,3,light_cone_or_skill_upgrade,lcs002,2
arrow-of-the-starchaser,逐星の矢,スイセイノヤ,4,light_cone_or_skill_upgrade,lcs002,3
key-of-inspiration,着想のカギ,チャクソウノカギ,2,light_cone_or_skill_upgrade,lcs003,1
key-of-knowledge,啓発のカギ,ケイハツノカギ,3,light_cone_or_skill_upgrade,lcs003,2
key-of-wisdom,叡智のカギ,エイチノカギ,4,light_cone_or_skill_upgrade,lcs003,3
obsidian-of-dread,黯淡な黒曜,アンタンナコクヨウ,2,light_cone_or_skill_upgrade,lcs004,1
obsidian-of-desolation,虚空の黒曜,コクウノコクヨウ,3,light_cone_or_skill_upgrade,lcs004,2
obsidian-of-obsession,沈淪せし黒曜,チンリンセシコクヨウ,4,light_cone_or_skill_upgrade,lcs004,3
shattered-blade,破砕の刃切,ハサイノハギレ,2,light_cone_or_skill_upgrade,lcs005,1
lifeless-blade,無生の刃切,ムショウノハギレ,3,light_cone_or_skill_upgrade,lcs005,2
worldbreaker-blade,浄世の刃切,ジョウセイノハギレ,4,light_cone_or_skill_upgrade,lcs005,3
harmonic-tune,調和のハーモニー,チョウワノハーモニー,2,light_cone_or_skill_upgrade,lcs006,1
ancestral-hymn,ファミリー賛歌,ファミリーサンカ,3,light_cone_or_skill_upgrade,lcs006,2
stellaris-symphony,群星の楽章,グンセイノガクショウ,4,light_cone_or_skill_upgrade,lcs006,3
seed-of-abundance,豊穣の種,ホウジョウノタネ,2,light_cone_or_skill_upgrade,lcs007,1
sprout-of-life,生命の芽,セイメイノメ,3,light_cone_or_skill_upgrade,lcs007,2
flower-of-eternity,永久の花,エイキュウノハナ,4,light_cone_or_skill_upgrade,lcs007,3
destroyers-final-road,壊滅者の末路,カイメツシャノマツロ,4,advanced_skill_upgrade,,
guardians-lament,守護者の悲願,シュゴシャノヒガン,4,advanced_skill_upgrade,,
regret-of-infinite-ochema,無窮なる仮身の遺恨,ムキュウナルカシンノイコン,4,advanced_skill_upgrade,,
tracks-of-destiny,運命の足跡,ウンメイノアシアト,5,others,,
credit,信用ポイント,シンヨウポイント,3,others,,
