id,$nameJA,yomi,type
band-of-sizzling-thunder,雷鳴轟くバンド,ライメイトドロクバンド,cavern
hunter-of-glacial-forest,雪の密林の狩人,ユキノミツリンノカリュウド,cavern
wastelander-of-banditry-desert,荒地で盗みを働く廃土客,アレチデヌスミヲハタラクハイドキャク,cavern
musketeer-of-wild-wheat,草の穂ガンマン,クサノホガンマン,cavern
inert-salsotto,自転が止まったサルソット,ジテンガトマッタサルソット,planar
fleet-of-the-ageless,老いぬ者の仙舟,オイヌモノノセンシュウ,planar
knight-of-purity-palace,純庭教会の聖騎士,ジュンテイキョウカイノセイキシ,cavern
talia-kingdom-of-banditry,盗賊公国タリア,トウゾクコウコクタリア,planar
sprightly-vonwacq,生命のウェンワーク,セイメイノウェンワーク,planar
firesmith-of-lava-forging,溶岩で鍛造する火匠,ヨウガンデタンゾウスルカショウ,cavern
passerby-of-wandering-cloud,流雲無痕の過客,リュウウンムコンノカカク,cavern
thief-of-shooting-meteor,流星の跡を追う怪盗,リュウセイノアトヲオウカイトウ,cavern
pan-galactic-commercial-enterprise,汎銀河商事会社,ハンギンガショウジガイシャ,planar
eagle-of-twilight-line,昼夜の狭間を翔ける鷹,チュウヤノハザマヲカケルタカ,cavern
genius-of-brilliant-stars,星の如く輝く天才,ホシノゴトクカガヤクテンサイ,cavern
champion-of-streetwise-boxing,成り上がりチャンピオン,ナリアガリチャンピオン,cavern
belobog-of-the-architects,建創者のベロブルグ,ケンソウシャノベロブルグ,planar
space-sealing-station,宇宙封印ステーション,ウチュウフウインステーション,planar
celestial-differentiator,天体階差機関,テンタイカイサキカン,planar
guard-of-wuthering-snow,吹雪と対峙する兵士,フブキトタイジスルヘイシ,cavern
longevous-disciple,宝命長存の蒔者,ホウメイチョウゾンノジシャ,cavern
messenger-traversing-hackerspace,仮想空間を漫遊するメッセンジャー,カソウクウカンヲマンユウスルメッセンジャー,cavern
rutilant-arena,星々の競技場,ホシボシノキョウギジョウ,planar
broken-keel,折れた竜骨,オレタリュウコツ,planar
pioneer-diver-of-dead-waters,死水に潜る先駆者,シスイニモグルセンクシャ,cavern
watchmaker-master-of-dream-machinations,夢を弄ぶ時計屋,ユメヲモテアソブトケイヤ,cavern
sigonia-the-unclaimed-desolation,荒涼の惑星ツガンニヤ,コウリョウノワクセイツガンニヤ,planar
izumo-gensei-and-takama-divine-realm,顕世の出雲と高天の神国,ケンセノイズモトタカマノシンコク,planar
the-ashblazing-grand-duke,灰燼を燃やし尽くす大公,,cavern
prisoner-in-deep-confinement,深い牢獄の囚人,,cavern
firmament-frontline-glamoth,蒼穹戦線グラモス,,planar
penacony-land-of-the-dreams,夢の地ピノコニー,,planar
iron-cavalry-against-the-scourge,蝗害を一掃せし鉄騎,,cavern
the-wind-soaring-valorous,風雲を薙ぎ払う勇烈,,cavern
duran-dynasty-of-running-wolves,奔狼の都藍王朝,,planar
forge-of-the-kalpagni-lantern,劫火と蓮灯の鋳煉宮,,planar
